States,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Alabama,3.7,3.6,3.7,3.7,3.8,3.9,3.8,3.7,3.6,4.3,4.4,4.4,4.3,4.5,4.9,4.9,4.9,5.2,5.4,5.4,5.5
Alaska,3.2,3.6,3.7,3.6,3.9,4.1,4,4.5,4.5,4.8,4.7,4.4,4.4,4.3,4.2,4.3,4.3,3.9,4.6,4.3,3.9
Arizona,2.9,2.9,3,3.5,3.4,3.6,3.9,3.9,4.3,3.9,3.5,3.6,3.8,4,4,4.2,4.3,4.4,4.8,4,4.6
Arkansas,3.6,4,4.1,3.7,3.9,4.8,4.8,5,5.3,5.3,5.7,5.7,5.5,5.9,5.8,6,6.1,6,6.2,6.2,6.4
California,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Colorado,2.9,3.3,3.3,3.2,3.6,3.7,3.9,4.1,4.3,4.4,4.3,4.3,4.3,4.4,4.5,4.4,4.4,4.3,4.7,4.7,4.7
Connecticut,1.6,2.7,2.9,2.9,3.2,3.1,2.6,2.8,2.7,3.1,2.9,3,3.4,3.2,3.1,3,3.1,3.2,3.3,3.2,3.3
Delaware,2.3,2.9,2.8,3,3.1,3.1,3.3,3.4,3.5,3.6,3.5,3.6,3.5,3.7,3.8,3.8,3.7,3.9,3.5,3.9,3.9
District of Columbia,2.1,2.4,2.5,2.5,2.7,2.8,2.6,2.8,2.9,2.9,2.8,2.7,2.7,1.7,2.1,2,1.8,2,2.4,2.9,3.2
Florida,3,3.5,3.6,3.6,3.9,4,4,4.1,4.2,4.5,4.4,4.2,4.3,4.6,4.7,4.6,4.7,5,5.1,5.2,5.1
Georgia,1.9,2.3,2.5,3.5,---,---,---,---,---,---,---,---,---,---,---,---,---,3.2,2.5,3.1,3.3
Hawaii,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3.7,4,3.9
Idaho,3.4,3.9,3.8,3.9,4,4.1,4.2,4.5,4.7,4.9,5.2,5,4.8,4.9,5,5,5,5.2,5.3,5.3,5.5
Illinois,1.6,1.3,1.5,1.9,2.2,2.2,2.2,2.3,2.4,2.6,2.6,2.5,2.5,2.6,2.5,2.6,2.6,2.8,2.9,3.2,3.2
Indiana,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Iowa,2.1,2.3,2.2,2,1.3,1.2,1.5,1.9,2.2,2.4,2.4,2.4,2.6,2.5,2.7,2.7,2.8,2.8,3.1,3.3,3.3
Kansas,1.8,2.3,2.3,2.4,2.7,2.8,3,3,3.4,3.9,3.7,3.6,3.5,3.4,3.1,3.1,3.3,3.3,3.6,3.4,3.6
Kentucky,3.1,3.4,3.5,3.7,3.8,3.7,3.8,4.2,4.1,4.4,4.5,4.6,4.6,4.6,5,4.6,4.9,5,5.2,5.1,5.1
Louisiana,1.4,2.4,1.7,1.9,2,2.8,2.3,2.2,---,---,---,---,---,---,---,---,---,3.4,3.3,---,---
Maine,2.4,3,3.2,3.2,3.4,3.4,3.6,4,3.9,4.2,4.2,4.1,4.2,4.2,4.2,4.1,4.3,4.4,4.6,4.7,5
Maryland,1.7,2.7,2.4,2.5,2.7,2.6,2.5,2.5,2.8,2.9,2.8,2.8,2.8,2.9,3,3.1,3.2,3.2,3.4,3,3.3
Massachusetts,1,1.5,2.1,2.2,2.3,2.6,2.7,2.6,2.7,2.7,2.5,2.2,2,2.3,2.3,2.2,2.2,2.5,2.5,2.4,2.5
Michigan,2.1,2.3,2.8,2.8,2.9,3,3,3.3,3.3,3.4,3.5,3.3,3.4,3.4,3.5,3.4,3.5,3.5,3.8,3.9,3.9
Minnesota,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.8,3,3.1,3.2,3.2
Mississippi,3.3,2.6,2.7,2.9,3.2,3.4,3.4,3.6,4,4,4.3,4.1,4.3,4.5,4.8,4.4,4.5,4.6,4.9,5,5
Missouri,2.7,2.9,3,3.1,3.3,3.2,3.3,3.4,3.7,3.9,3.9,3.8,3.7,3.8,3.8,3.6,3.8,3.9,4,4.2,4.5
Montana,2.3,3,3,3.1,3.1,3.4,3.4,3.4,3.9,4,3.9,4,4.1,4,4.4,4.5,3.8,3.9,4,4.2,4.2
Nebraska,2.8,2.7,2.9,3,3.1,3.2,3.1,3.3,3.4,3.5,3.6,3.4,3.3,3.4,3.4,3.3,3.4,3.4,3.6,3.6,3.7
Nevada,3,4.2,4.4,4.5,4.3,4.6,5.3,5.1,5.5,5.6,5.9,6.6,6.4,6.4,6.7,7.4,6.3,7.3,7.1,6.3,9.9
New Hampshire,2.4,3.1,3.1,3.1,3.4,3.3,3.5,3.7,3.6,3.8,3.8,3.7,3.9,3.8,4.1,3.9,4,4.1,4.3,4.4,4.8
