State,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Alabama,7.2,6.7,6.8,7,7.1,7.4,7.8,7.8,8.2,8.4,8.2,8.3,8.6,8.9,9.2,9.2,9.4,9.6,9.9,9.4,10.1
Alaska,5.7,6.5,6.7,6.9,7.1,7.4,7.5,7.3,7.2,7.8,8,7.8,8.4,8.5,8.2,8.2,8.5,8.1,8.3,8.1,8.9
Arizona,4.9,5.3,5.5,5.8,5.9,5.9,5.8,5.4,5.6,5.7,5.9,5.6,6,6.4,6.5,6.6,6.7,6.5,6.7,7.6,7.5
Arkansas,7.8,8.4,8.9,9.5,9.9,10,10.1,9.8,10.9,10.4,10.8,10.7,10.6,12,12.4,12.9,13.4,13.4,14.3,14.3,15.4
California 1,3.2,5.7,6,6.3,6.5,6.2,6.4,6.5,6,5.8,5.8,5.8,6.7,6.2,6.3,6.4,6.4,6.1,6.2,6.5,5.8
Colorado,6.7,7.3,7.6,7.3,7.4,6.8,7.1,6.5,6.8,7,6.9,6.9,7.4,7.1,7.2,7.6,7.4,7.8,8,8.2,8.3
Connecticut,4.3,5,5.3,5.6,5.6,5.3,5.4,5,5.2,5.5,5.6,5.9,5.4,5.5,5.5,5.8,5.8,5.5,5.7,5.4,5.7
Delaware,4.4,5,5.2,5.5,5.6,5.7,6,6.6,5.8,5.2,5.2,5.4,5.5,5.7,5.9,5.9,6.1,6,6.4,6.5,6.5
District of Columbia,6.5,7.8,7.8,8.2,8.1,8.2,11.8,10.8,8.4,8.7,7.6,4.7,4.1,4.2,4,4.1,5.2,5.1,5.1,6.2,4.9
Florida,5.7,7.1,7.3,7.8,8.1,8.2,7.3,7,7.2,7.4,7.3,7.5,8,8.5,8.6,8.9,9,9,9.4,9.3,8.9
Georgia,5.1,6,6.4,6.9,6.8,6.2,---,---,6.5,6.6,7.3,6.6,6,6.8,7.3,7,7.9,7,6.5,6.1,6.8
Hawaii,7.4,14.2,15.3,15.3,15.6,15.9,17.7,16.3,17.5,17.6,17.6,17.2,19.1,20.8,21.9,22.6,22.6,22,20.8,19.6,20.6
Idaho,7.3,7.4,7.8,7.8,8.1,8.2,8.4,8.2,8.2,8.6,8.8,8.9,9.5,10,10.1,10.5,10.8,10.9,11,11.2,10.8
Illinois,3.9,5.2,5.5,6,5.8,5.9,6.2,5.4,5.8,5.6,5.7,5.7,5.9,6.1,6.2,5.9,6.2,6.5,6.6,7.2,6.9
Indiana,5.8,6.2,6.6,6.9,6.9,6.9,7.1,6.6,6.7,6.8,6.3,7.9,8,7,7,6.9,7.8,7.1,7.9,7.9,7.9
Iowa,4.9,5.4,5.7,6.2,6.1,6.3,6.9,7.4,6.8,6.7,6.9,7,6.5,6.6,6.7,6.9,6.9,6.9,7,7.1,6.9
Kansas,4.9,5.3,5.4,6,6.2,5.9,6.1,6,6.3,6.3,6.4,6.4,6.7,6.8,6.8,6.8,7,6.9,7.3,7.5,8.3
Kentucky,4.9,6.3,6.8,7.2,7.4,7.2,6.9,7.3,7.2,7.5,7.4,7.6,7.9,7.8,8.4,8.7,8.8,9.1,9,9,9.8
Louisiana,3.4,5.1,5.1,5.6,6.1,6.8,6.9,6.4,5.7,6.4,6.9,7.1,6.8,7.5,---,8,8,8.2,8.1,8.4,9.1
Maine,5.8,7.1,7.4,7.6,7.6,7.6,7.7,8.3,7.3,7.2,7.1,7.1,7.4,7.4,7.8,8.2,8.6,8.4,8.4,8.6,8.8
